texto,label
"EMENTA: PROCESSUAL CIVIL. AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL. AÇÃO DE INDENIZAÇÃO POR DANOS MORAIS E MATERIAIS. ATRASO NA ENTREGA DE IMÓVEL. PRETENSÃO DE DANO MORAL IN RE IPSA. IMPOSSIBILIDADE. NECESSIDADE DE COMPROVAÇÃO. SÚMULA 7/STJ. 1. A jurisprudência desta Corte Superior é no sentido de que o atraso na entrega de imóvel não gera, por si só, dano moral, sendo necessária a comprovação de prejuízo efetivo. 2. O acórdão recorrido, ao concluir pela ausência de dano moral, baseou-se no conjunto fático-probatório dos autos. A alteração dessa conclusão demandaria o reexame desse conjunto, o que é vedado em sede de recurso especial, a teor do óbice da Súmula 7/STJ. 3. Agravo interno a que se nega provimento.",1
"EMENTA: ADMINISTRATIVO. PROCESSUAL CIVIL. SERVIDOR PÚBLICO. PENSÃO POR MORTE. REVISÃO. TERMO INICIAL. PRESCRIÇÃO. 1. A pensão por morte é benefício previdenciário que visa substituir a renda do segurado falecido para seus dependentes. 2. O termo inicial da revisão da pensão é a data do requerimento administrativo, quando houve deferimento do pedido. 3. Não há falar em prescrição do fundo de direito, tratando-se de prestação de trato sucessivo. 4. Agravo conhecido para dar provimento ao recurso especial.",1
"EMENTA: TRIBUTÁRIO. EXECUÇÃO FISCAL. PRESCRIÇÃO INTERCORRENTE. TERMO INICIAL. CIÊNCIA DA FAZENDA PÚBLICA. SÚMULA 10/STJ. 1. A prescrição intercorrente tem como termo inicial a data em que a Fazenda Pública teve ciência da inexistência de bens penhoráveis. 2. A orientação firmada pelo STJ é no sentido de que a citação do devedor interrompe a prescrição, reiniciando-se a contagem a partir do despacho que ordena a citação. 3. Recurso especial provido.",1
"EMENTA: DIREITO PENAL. HABEAS CORPUS. TRÁFICO DE DROGAS. DOSIMETRIA. CAUSA DE DIMINUIÇÃO. QUANTIDADE DE DROGA. 1. Na dosimetria da pena, a quantidade de droga apreendida é circunstância que deve ser considerada na primeira fase, como circunstância judicial. 2. A causa de diminuição prevista no art. 33, § 4º, da Lei 11.343/2006 pode ser aplicada mesmo quando a quantidade de droga é elevada, desde que presentes os requisitos legais. 3. Ordem concedida para redimensionar a pena.",1
"EMENTA: CONSUMIDOR. APELAÇÃO CÍVEL. AÇÃO DE INDENIZAÇÃO. PRODUTO DEFEITUOSO. NEXO CAUSAL. DANO MORAL. CABIMENTO. 1. A responsabilidade pelo fato do produto é objetiva, bastando a demonstração do defeito e do nexo causal. 2. O dano moral é cabível quando o defeito do produto causa tranststornos além do mero dissabor. 3. Recurso parcialmente provido.",1
"EMENTA: PROCESSUAL CIVIL. RECURSO ESPECIAL. AÇÃO RESCISÓRIA. VIOLAÇÃO A LITERAL DISPOSIÇÃO DE LEI. NÃO OCORRÊNCIA. 1. A ação rescisória fundada em violação a literal disposição de lei exige que a decisão rescindenda tenha aplicado a norma de forma contrária ao seu teor literal. 2. No caso, o acórdão rescindendo interpretou a norma de acordo com a jurisprudência dominante, não havendo falar em violação literal. 3. Recurso especial não provido.",1
"EMENTA: DIREITO DO TRABALHO. RECURSO DE REVISTA. ADICIONAL DE INSALUBRIDADE. BASE DE CÁLCULO. SALÁRIO MÍNIMO. CONSTITUCIONALIDADE. 1. O adicional de insalubridade deve ser calculado sobre o salário mínimo, nos termos da norma regulamentar. 2. A decisão do STF que declarou inconstitucional a vinculação do salário mínimo não se aplica ao adicional de insalubridade, que tem natureza indenizatória. 3. Recurso de revista não conhecido.",1
"EMENTA: CIVIL. AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL. USUCAPIÃO. POSSE. ANIMUS DOMINI. COMPROVAÇÃO. 1. Para a caracterização da posse com animus domini, necessária a demonstração de atos que evidenciem a intenção de dono. 2. O acórdão recorrido concluiu pela ausência de animus domini com base na prova testemunhal. A alteração dessa conclusão demandaria reexame do conjunto fático-probatório, o que é vedado em sede de recurso especial. 3. Agravo interno a que se nega provimento.",1
"EMENTA: TRIBUTÁRIO. ICMS. BASE DE CÁLCULO. INCLUSÃO DO IPI. IMPOSSIBILIDADE. 1. O IPI não integra a base de cálculo do ICMS, pois se trata de imposto com fato gerador e base de cálculo distintos. 2. A jurisprudência do STF firmou entendimento no sentido de que a inclusão do IPI na base de cálculo do ICMS é inconstitucional. 3. Recurso especial provido.",1
"EMENTA: PENAL. RECURSO ORDINÁRIO EM HABEAS CORPUS. LESÃO CORPORAL. VIOLÊNCIA DOMÉSTICA. REPRESENTAÇÃO. RENÚNCIA. 1. Nos crimes de lesão corporal de natureza leve cometidos em contexto de violência doméstica, a ação penal é pública condicionada à representação. 2. A renúncia à representação só é possível após o oferecimento da denúncia, mediante manifestação expressa da vítima em audiência. 3. Recurso ordinário provido.",1
